,thread1,thread2,thread3,thread4,thread5,thread6,thread7,thread8,thread9,thread10,thread11,thread12,thread13,thread14,thread15,thread16,thread17,thread18,thread19,thread20,thread21,thread22
0,60.087,60.032,60.009,60.007,19.038,19.005,19.014,19.011,19.011,19.006,19.108,19.007,19.01,19.01,19.011,19.141,19.011,19.225,19.013,19.01,19.199,19.01
1,89.102,89.046,89.019,89.019,33.038,33.001,33.008,33.006,33.005,32.998,33.103,33.007,33.007,33.008,33.005,33.142,33.009,33.226,33.014,33.007,33.2,33.002
2,103.059,103.0,102.975,102.977,40.998,40.956,40.966,40.964,40.96,40.956,41.058,40.966,40.963,40.963,40.959,41.096,40.968,41.182,40.973,40.966,41.159,40.96
3,152.425,152.364,152.337,152.343,50.361,50.331,50.331,50.329,50.325,8389.852,50.421,50.329,50.331,50.323,50.324,50.46,50.336,50.544,50.333,50.328,50.522,50.32
4,155.897,155.84,155.813,155.817,54.835,54.808,54.806,54.802,54.801,8390.86,54.896,54.805,54.835,54.799,54.8,54.981,54.812,55.02,54.806,54.8,54.994,54.796
5,159.37,159.314,159.288,159.293,59.31,59.284,59.278,59.274,59.277,8612.737,59.369,59.281,59.35,59.275,59.276,59.458,59.287,59.496,59.278,59.276,59.471,59.272
6,162.841,162.79,162.763,162.771,63.825,63.756,63.751,63.745,63.753,8622.745,63.84,63.754,63.82,63.751,63.752,63.935,63.763,63.973,63.754,63.748,63.947,63.749
7,166.314,166.264,166.235,166.247,68.299,68.228,68.225,68.217,68.23,8847.674,68.315,68.23,68.292,68.226,68.228,68.41,68.236,68.449,68.231,68.218,68.425,68.224
8,169.787,169.74,169.768,169.721,72.774,72.7,72.698,72.691,72.702,8856.681,72.789,72.704,72.763,72.697,72.702,72.887,72.712,72.923,72.702,72.689,72.9,72.701
9,173.263,173.216,173.239,173.192,77.245,77.174,77.169,77.167,77.179,9125.621,77.265,77.178,77.237,77.17,77.177,77.37,77.187,77.399,77.177,77.161,77.376,77.176
10,773.842,482.835,663.014,573.534,120.842,147.76,135.778,185.777,183.837,9137.638,216.93,226.878,249.948,263.948,383.294,274.138,914.092,304.223,326.006,824.393,381.283,248113.723
11,784.85,524.841,707.021,578.538,126.851,148.771,146.787,190.789,190.849,9514.915,221.941,230.889,261.96,269.955,395.304,285.149,917.103,310.238,327.012,826.401,388.294,248118.732
